Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Bushfire - Black Thursday Victoria,Victoria,Melbourne,Bushfire,06/02/1851,07/02/1851,12,N/A
Bushfire - Red Tuesday,Victoria,Melbourne,Bushfire,01/02/1898,02/02/1898,12,N/A
Black Summer - New South Wales,New South Wales,New South Wales,Bushfire,1/7/2019,31/3/2020,26,N/A
Black Summer - Queensland,Queensland,Queensland,Bushfire,1/9/2019,31/12/2019,N/A,N/A
Black Summer - Victoria,Victoria,Victoria,Bushfire,1/11/2019,29/2/2020,5,N/A
Black Summer - South Australia,South Australia,South Australia,Bushfire,1/11/2019,29/2/2020,4,N/A
"Eastern Victorian bushfires, 2019",Victoria,East Victoria,Bushfire,1/3/2019,21/3/2019,N/A,N/A
"Tasmanian bushfires, 2018-19",Tasmania,Tasmania,Bushfire,28/12/2018,1/3/2019,N/A,N/A
"Tathra bushfire, 2018",New South Wales,Tathra,Bushfire,18/3/2018,21/3/2018,N/A,N/A
"South-west complex fires, 2018",Victoria,South-west Victoria,Bushfire,17/3/2018,2/5/2018,N/A,N/A
"Sir Ivan fire, 2017",New South Wales,Warrambungle Shire,Bushfire,11/2/2017,28/2/2017,N/A,N/A
"Carwoola bushfire, 2017",New South wales,Carwoola,Bushfire,18/2/2017,19/2/2017,N/A,2
"Llandilo bushfire, 2016",New South  Wales,Llandilo,Bushfire,4/11/2016,5/11/2016,N/A,N/A
Waroona-Yarloop Fire,Western australia,"Waroona, Yarloop",Bushfire,5/1/2016,8/1/2016,2,N/A
Wye River - Jamieson track / Great Ocean Road Bushfire,Victoria,Wye River,Bushfire,19/12/2015,21/1/2016,N/A,N/A
"Pinery fire, 2015",South Australia,Pinery,Bushfire,25/11/2015,30/11/2015,2,N/A
"Sampson Flat bushfire, 2015",South Australia,Sampson Flat,Bushfire,2/1/2015,8/1/2015,N/A,134
"Bushfire – Perth Hills, Western Australia 2014",Western Australia,Perth,Bushfire,12/1/2014,14/1/2014,1,N/A
Bushfire - Victoria,Victoria,Victoria,Bushfire,8/2/2014,14/2/2014,N/A,3
Bushfire - Victoria,Victoria,"Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie",Bushfire,1/1/2006,,4,6
"Bushfire - Coonabarabran, 2013",New South Wales,Coonabarabran,Bushfire,7/1/2013,20/1/2013,A ,N/A
"Bushfire - Hazelwood open cut mine fire, Morwell",victoria,Morwell,Bushfire,9/2/2014,25/3/2014,N/A,20
"Dunalley and Tasmanian bushfires, 2013",Tasmania,"Dunalley, Forcett, Lake Repulse ",Bushfire,1/1/2013,14/1/2013,1,N/A
Bushfire - Augusta - Margaret River,Western Australia,Bunbury,Bushfire,23/11/2011,6/12/2011,N/A,N/A
Bushfire - Southern Queensland,Queensland,"Blackall , Charters Towers , Longreach , Townsville , Winton",Bushfire,1/8/2011,31/10/2011,N/A,N/A
Bushfire - Perth Hill Bushfires,Western Australia,Perth,Bushfire,5/2/2011,7/2/2011,N/A,12
"Bushfire - Black Saturday, Victoria",Victoria,"Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne",Bushfire,7/2/2009,8/2/2009,173,414
Bushfire - Boorabbin National Park,Western Australia,Kalgoorlie,Bushfire,28/12/2007,8/1/2008,3,N/A
Bushfire - Great Divide Complex ,Victoria,"Cooma (VIC) , Melbourne",Bushfire,1/12/2006,7/2/2007,1,"1,400"
Bushfire - Victoria,Victoria,"Mount Gambier (VIC) , Wilsons Promontory , Melbourne",Bushfire,31/12/2005,31/1/2006,4,6
Bushfire - Eyre Peninsula,South Australia,Adelaide,Bushfire,10/1/2005,12/1/2005,9,110
Bushfire - Canberra,Australian Capital Territory,Canberra (ACT),Bushfire,18/1/2003,19/1/2003,4,435
"Bushfire - North-Eastern Victoria, Alpine Region",Victoria,Cooma (VIC),Bushfire,8/1/2003,19/3/2003,N/A,N/A
Bushfire - Sydney,New South Wales,Sydney,Bushfire,9/10/2002,9/10/2002,N/A,N/A
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory","Dubbo , Sydney , Wollongong , Canberra (ACT)",Bushfire,24/12/2001,11/1/2002,N/A,N/A
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",New South Wales,Mt Ku-Ring-gai,Bushfire,8/6/2000,8/6/2000,4,3
Bushfire - Linton (near Ballarat),Victoria,Melbourne,Bushfire,2/12/1998,2/12/1998,5,N/A
"Bushfire - Sydney, Hunter, Pilliga",New South Wales,Sydney,Bushfire,20/11/1997,20/12/1997,4,N/A
Bushfire - Kangaroo Island,South Australia,Kangaroo Island,Bushfire,6/12/2007,,1,N/A
Bushfire - Dandenong Ranges and Mornington Peninsula,Victoria,"Wilsons Promontory , Melbourne",Bushfire,19/1/1997,21/1/1997,3,40
Bushfire - East Coast,Queensland,Brisbane,Bushfire,27/9/1994,7/11/1994,N/A,9
"Bushfire - North Coast, Hunter and Sydney",New South Wales,"Dubbo , Lismore (NSW) , Sydney",Bushfire,27/12/1993,16/1/1994,4,N/A
Bushfire - Western Sydney and Central Coast,New South Wales,Sydney,Bushfire,16/10/1991,31/1/1992,2,N/A
Bushfire - Cootamundra and Deniliquin Regions,New South Wales,"Canberra (NSW) , Swan Hill (NSW)",Bushfire,17/1/1987,20/1/1987,3,20
Bushfire - Central Victoria and Alpine Fires,Victoria,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",Bushfire,14/1/1985,28/1/1985,3,N/A
Bushfire - North-Western Regions ,New South Wales,Bourke,Bushfire,1/9/1984,1/2/1985,4,N/A
Bushfire - Ash Wednesday,"Victoria , South Australia","Wilsons Promontory , Adelaide , Melbourne",Bushfire,16/2/1983,18/2/1983,75,"1,500"
Bushfire - Sydney and Southern Regions,New South Wales,Sydney,Bushfire,1/1/1983,31/1/1983,3,N/A
Bushfire - Sydney and Wollongong,New South Wales,"Sydney , Wollongong",Bushfire,3/11/1980,3/11/1980,5,N/A
Bushfire - Mount Lofty Ranges,South Australia,Adelaide,Bushfire,20/2/1980,20/2/1980,N/A,N/A
Bushfire - Sydney and Region,New South Wales,Sydney,Bushfire,1/12/1979,1/2/1980,5,N/A
Bushfire - Western Districts and Streatham ,Victoria,Melbourne,Bushfire,12/2/1977,12/2/1977,4,N/A
