EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State,state_year
Bushfire - Black Thursday Victoria,Bushfire,Melbourne,-37.712608,144.495866,1851,12,,,2,Victoria,Victoria_1851
Bushfire - Red Tuesday,Bushfire,Melbourne,-37.813825,144.959165,1898,12,,,2,Victoria,Victoria_1898
Black Summer - New South Wales,Bushfire,New South Wales,-31.061251,147.255548,2019,26,,1880000000,7,New South Wales,New South Wales_2019
Black Summer - Queensland,Bushfire,Queensland,-20.83322,142.894144,2019,,,70000000,9,Queensland,Queensland_2019
Black Summer - Victoria,Bushfire,Victoria,-37.508367,144.769126,2019,5,,18600000,11,Victoria,Victoria_2019
Black Summer - South Australia,Bushfire,South Australia,-29.989555,136.206564,2019,4,,186000000,11,South Australia,South Australia_2019
"Eastern Victorian bushfires, 2019",Bushfire,East Victoria,-37.384909,147.790291,2019,,,36000000,3,Victoria,Victoria_2019
"Tathra bushfire, 2018",Bushfire,Tathra,-36.704251,150.02377,2018,,,63516711,3,Australian Capital Territory,Australian Capital Territory_2018
"South-west complex fires, 2018",Bushfire,South-west Victoria,-38.002183,141.902427,2018,,,18972524,3,Victoria,Victoria_2018
Waroona-Yarloop Fire,Bushfire,"Waroona, Yarloop",-32.988123,115.748313,2016,2,,71000000,1,Western Australia,Western Australia_2016
Wye River - Jamieson track / Great Ocean Road Bushfire,Bushfire,Wye River,-38.773555,143.992362,2015,,,120000000,12,Victoria,Victoria_2015
"Pinery fire, 2015",Bushfire,Pinery,-33.937512,138.702791,2015,2,,61000000,11,South Australia,South Australia_2015
"Sampson Flat bushfire, 2015",Bushfire,Sampson Flat,-34.953285,138.81853,2015,,,24900000,1,South Australia,South Australia_2015
"Bushfire – Perth Hills, Western Australia 2014",Bushfire,Perth,-31.945177,115.878321,2014,1,,15000000,1,Western Australia,Western Australia_2014
Bushfire - Victoria,Bushfire,"Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie",-37.388994,144.505201,2005,4,,22000000,1,Victoria,Victoria_2005
"Bushfire - Coonabarabran, 2013",Bushfire,Coonabarabran,-31.276825,149.287333,2013,,,35000000,1,New South Wales,New South Wales_2013
"Bushfire - Hazelwood open cut mine fire, Morwell",Bushfire,Morwell,-37.742667,146.795004,2014,,,100000000,2,Victoria,Victoria_2014
"Dunalley and Tasmanian bushfires, 2013",Bushfire,"Dunalley, Forcett, Lake Repulse ",-42.652966,147.158253,2013,1,,89000000,1,Tasmania,Tasmania_2013
Bushfire - Augusta - Margaret River,Bushfire,Bunbury,-32.961902,116.137525,2011,,,53000000,11,Western Australia,Western Australia_2011
Bushfire - Perth Hill Bushfires,Bushfire,Perth,-31.680834,115.403598,2011,,,35000000,2,Western Australia,Western Australia_2011
"Bushfire - Black Saturday, Victoria",Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne",-37.637994,144.519516,2009,173,,1070000000,2,Victoria,Victoria_2009
Bushfire - Boorabbin National Park,Bushfire,Kalgoorlie,-30.808283,121.365573,2007,3,,,12,Western Australia,Western Australia_2007
Bushfire - Great Divide Complex ,Bushfire,"Cooma (VIC) , Melbourne",-37.8136,144.9631,2006,1,,,12,Victoria,Victoria_2006
Bushfire - Victoria,Bushfire,"Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.388994,144.505201,2005,4,,22400000,12,Victoria,Victoria_2005
Bushfire - Eyre Peninsula,Bushfire,Adelaide,-34.986605,138.384486,2005,9,,27700000,1,South Australia,South Australia_2005
Bushfire - Canberra,Bushfire,Canberra (ACT),-35.264974,149.141399,2003,4,,,1,Australian Capital Territory,Australian Capital Territory_2003
"Bushfire - North-Eastern Victoria, Alpine Region",Bushfire,Cooma (VIC),-35.810362,149.298975,2003,,,12000000,1,Victoria,Victoria_2003
Bushfire - Sydney,Bushfire,Sydney,-33.872063,151.174189,2002,,,25000000,10,Australian Capital Territory,Australian Capital Territory_2002
Bushfire - Black Christmas,Bushfire,"Dubbo , Sydney , Wollongong , Canberra (ACT)",-34.278068,149.969835,2001,,,69000000,12,Australian Capital Territory,Australian Capital Territory_2001
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",Bushfire,Mt Ku-Ring-gai,-33.713659,151.289335,2000,4,,,6,New South Wales,New South Wales_2000
