State,Year,state_year,NumberOfDisasters
Australian Capital Territory,1860,Australian Capital Territory_1860,3
Australian Capital Territory,1893,Australian Capital Territory_1893,1
Australian Capital Territory,1932,Australian Capital Territory_1932,1
Australian Capital Territory,1937,Australian Capital Territory_1937,6
Australian Capital Territory,1947,Australian Capital Territory_1947,2
Australian Capital Territory,1950,Australian Capital Territory_1950,1
Australian Capital Territory,1971,Australian Capital Territory_1971,1
Australian Capital Territory,1974,Australian Capital Territory_1974,1
Australian Capital Territory,1975,Australian Capital Territory_1975,3
Australian Capital Territory,1976,Australian Capital Territory_1976,1
Australian Capital Territory,1978,Australian Capital Territory_1978,2
Australian Capital Territory,1979,Australian Capital Territory_1979,1
Australian Capital Territory,1980,Australian Capital Territory_1980,1
Australian Capital Territory,1983,Australian Capital Territory_1983,1
Australian Capital Territory,1986,Australian Capital Territory_1986,2
Australian Capital Territory,1989,Australian Capital Territory_1989,1
Australian Capital Territory,1994,Australian Capital Territory_1994,1
Australian Capital Territory,1996,Australian Capital Territory_1996,2
Australian Capital Territory,1998,Australian Capital Territory_1998,2
Australian Capital Territory,1999,Australian Capital Territory_1999,2
Australian Capital Territory,2001,Australian Capital Territory_2001,2
Australian Capital Territory,2002,Australian Capital Territory_2002,1
Australian Capital Territory,2003,Australian Capital Territory_2003,1
Australian Capital Territory,2015,Australian Capital Territory_2015,2
Australian Capital Territory,2017,Australian Capital Territory_2017,1
Australian Capital Territory,2018,Australian Capital Territory_2018,1
New South Wales,1852,New South Wales_1852,1
New South Wales,1863,New South Wales_1863,1
New South Wales,1890,New South Wales_1890,1
New South Wales,1893,New South Wales_1893,1
New South Wales,1896,New South Wales_1896,1
New South Wales,1926,New South Wales_1926,1
New South Wales,1939,New South Wales_1939,1
New South Wales,1950,New South Wales_1950,2
New South Wales,1951,New South Wales_1951,1
New South Wales,1954,New South Wales_1954,3
New South Wales,1967,New South Wales_1967,1
New South Wales,1974,New South Wales_1974,3
New South Wales,1976,New South Wales_1976,1
New South Wales,1980,New South Wales_1980,1
New South Wales,1981,New South Wales_1981,1
New South Wales,1984,New South Wales_1984,1
New South Wales,1986,New South Wales_1986,1
New South Wales,1987,New South Wales_1987,1
New South Wales,1988,New South Wales_1988,1
New South Wales,1989,New South Wales_1989,2
New South Wales,1990,New South Wales_1990,1
New South Wales,1991,New South Wales_1991,1
New South Wales,1993,New South Wales_1993,1
New South Wales,1994,New South Wales_1994,1
New South Wales,1996,New South Wales_1996,2
New South Wales,1998,New South Wales_1998,3
New South Wales,1999,New South Wales_1999,1
New South Wales,2000,New South Wales_2000,1
New South Wales,2001,New South Wales_2001,5
New South Wales,2002,New South Wales_2002,1
New South Wales,2004,New South Wales_2004,1
New South Wales,2005,New South Wales_2005,5
New South Wales,2007,New South Wales_2007,3
New South Wales,2008,New South Wales_2008,1
New South Wales,2009,New South Wales_2009,1
New South Wales,2011,New South Wales_2011,1
New South Wales,2012,New South Wales_2012,1
New South Wales,2013,New South Wales_2013,1
New South Wales,2014,New South Wales_2014,1
New South Wales,2019,New South Wales_2019,1
Northern Territory,1887,Northern Territory_1887,1
Northern Territory,1897,Northern Territory_1897,1
Northern Territory,1903,Northern Territory_1903,1
Northern Territory,1916,Northern Territory_1916,2
Northern Territory,1955,Northern Territory_1955,1
Northern Territory,1957,Northern Territory_1957,1
Northern Territory,1958,Northern Territory_1958,1
Northern Territory,1969,Northern Territory_1969,2
Northern Territory,1974,Northern Territory_1974,1
Northern Territory,1980,Northern Territory_1980,1
Northern Territory,1983,Northern Territory_1983,1
Northern Territory,1988,Northern Territory_1988,1
Northern Territory,1990,Northern Territory_1990,1
Northern Territory,1991,Northern Territory_1991,1
Northern Territory,1994,Northern Territory_1994,2
Northern Territory,1995,Northern Territory_1995,1
Northern Territory,1996,Northern Territory_1996,1
Northern Territory,1997,Northern Territory_1997,2
Northern Territory,1998,Northern Territory_1998,3
Northern Territory,2001,Northern Territory_2001,1
