Month,State,Unemployment Rate
1991-07,New South Wales,8.7
1991-08,New South Wales,9
1991-09,New South Wales,9.6
1991-10,New South Wales,9
1991-11,New South Wales,9.2
1991-12,New South Wales,10.1
1992-01,New South Wales,10.7
1992-02,New South Wales,10.8
1992-03,New South Wales,9.9
1992-04,New South Wales,9.7
1992-05,New South Wales,9.8
1992-06,New South Wales,9.9
1992-07,New South Wales,10.1
1992-08,New South Wales,10.4
1992-09,New South Wales,10.3
1992-10,New South Wales,10.6
1992-11,New South Wales,10.3
1992-12,New South Wales,11.1
1993-01,New South Wales,11.6
1993-02,New South Wales,12.4
1993-03,New South Wales,11.4
1993-04,New South Wales,10.7
1993-05,New South Wales,10.3
1993-06,New South Wales,10.4
1993-07,New South Wales,9.9
1993-08,New South Wales,10.5
1993-09,New South Wales,10.4
1993-10,New South Wales,10.3
1993-11,New South Wales,10.1
1993-12,New South Wales,10.5
1994-01,New South Wales,11.2
1994-02,New South Wales,11.1
1994-03,New South Wales,10.6
1994-04,New South Wales,9.9
1994-05,New South Wales,9.5
1994-06,New South Wales,9.6
1994-07,New South Wales,9
1994-08,New South Wales,8.9
1994-09,New South Wales,9.3
1994-10,New South Wales,8.5
1994-11,New South Wales,8.2
1994-12,New South Wales,8.8
1995-01,New South Wales,9.1
1995-02,New South Wales,9.6
1995-03,New South Wales,8.7
1995-04,New South Wales,7.6
1995-05,New South Wales,7.7
1995-06,New South Wales,7.5
1995-07,New South Wales,7.1
1995-08,New South Wales,7.6
1995-09,New South Wales,7.5
1995-10,New South Wales,7.2
1995-11,New South Wales,7.4
1995-12,New South Wales,7.2
1996-01,New South Wales,8.3
1996-02,New South Wales,8.4
1996-03,New South Wales,8.4
1996-04,New South Wales,8.2
1996-05,New South Wales,7.8
1996-06,New South Wales,7.4
1996-07,New South Wales,7.4
1996-08,New South Wales,7.9
1996-09,New South Wales,8
1996-10,New South Wales,7.5
1996-11,New South Wales,7
1996-12,New South Wales,7.7
1997-01,New South Wales,8.2
1997-02,New South Wales,9.1
1997-03,New South Wales,8.1
1997-04,New South Wales,7.8
1997-05,New South Wales,7.8
1997-06,New South Wales,7.2
1997-07,New South Wales,7.6
1997-08,New South Wales,7.5
1997-09,New South Wales,7.4
1997-10,New South Wales,7.5
1997-11,New South Wales,7
1997-12,New South Wales,7
1998-01,New South Wales,7.7
1998-02,New South Wales,8.2
1998-03,New South Wales,7.7
1998-04,New South Wales,6.9
1998-05,New South Wales,7.2
1998-06,New South Wales,7
1998-07,New South Wales,6.7
1998-08,New South Wales,7
1998-09,New South Wales,7.1
1998-10,New South Wales,6.1
1998-11,New South Wales,6.9
1998-12,New South Wales,6.3
